State,Year,Month,Day,Rainfall (mm)
Johor,2016,5,6,0.30
Johor,2016,5,7,2.08
Johor,2016,5,8,12.63
Johor,2016,5,9,2.17
Johor,2016,5,10,0.47
Johor,2016,5,11,0.01
Johor,2016,5,12,0.02
Johor,2016,5,13,0.00
Johor,2016,5,14,0.00
Johor,2016,5,15,0.00
Johor,2016,5,16,0.00
Johor,2016,5,17,0.00
Johor,2016,5,18,0.00
Johor,2016,5,19,0.00
Johor,2016,5,20,0.00
Johor,2016,5,21,0.00
Johor,2016,5,22,0.00
Johor,2016,5,23,0.00
Johor,2016,5,24,0.08
Johor,2016,5,25,0.00
Johor,2016,5,26,0.00
Johor,2016,5,27,0.39
Johor,2016,5,28,1.40
Johor,2016,5,29,1.87
Johor,2016,5,30,4.64
Johor,2016,5,31,4.80
Johor,2016,6,1,2.93
Johor,2016,6,2,3.78
Johor,2016,6,3,7.30
Johor,2016,6,4,1.78
Johor,2016,6,5,13.78
Johor,2016,6,6,6.98
Johor,2016,6,7,0.22
Johor,2016,6,8,0.75
Johor,2016,6,9,0.11
Johor,2016,6,10,0.78
Johor,2016,6,11,0.00
Johor,2016,6,12,2.03
Johor,2016,6,13,1.48
Johor,2016,6,14,0.68
Johor,2016,6,15,0.04
Johor,2016,6,16,1.62
Johor,2016,6,17,3.93
Johor,2016,6,18,4.36
Johor,2016,6,19,4.47
Johor,2016,6,20,6.71
Johor,2016,6,21,5.76
Johor,2016,6,22,3.94
Johor,2016,6,23,6.15
Johor,2016,6,24,7.55
Johor,2016,6,25,3.55
Johor,2016,6,26,1.09
Johor,2016,6,27,0.10
Johor,2016,6,28,1.30
Johor,2016,6,29,0.00
Johor,2016,6,30,0.00
Johor,2016,7,1,0.15
Johor,2016,7,2,0.38
Johor,2016,7,3,2.69
Johor,2016,7,4,3.23
Johor,2016,7,5,4.50
Johor,2016,7,6,5.70
Johor,2016,7,7,9.46
Johor,2016,7,8,4.72
Johor,2016,7,9,0.77
Johor,2016,7,10,11.46
Johor,2016,7,11,28.13
Johor,2016,7,12,14.45
